job_id,title,role_id,role_title,category,company,company_type,company_tier,location,location_tier,min_experience_years,max_experience_years,avg_experience_years,required_skills,preferred_skills,all_skills,salary_min_lpa,salary_max_lpa,salary_mid_lpa,description,posted_days_ago,applicants_count
JOB-1000,Mid-Level Specialist QA Automation & SDET Engineer,sdet_qa_engineer,QA Automation & SDET Engineer,Software Engineering,Goldman Sachs,Fintech & Investment Banking,Tier-1,"Bangalore, Karnataka",Tier-1,3,6,4,"javascript,docker,qa_automation,rest_apis,git,ci_cd,python",,"javascript,docker,qa_automation,rest_apis,git,ci_cd,python",11.0,28.2,19.6,"We are hiring a talented QA Automation & SDET Engineer to join Goldman Sachs in Bangalore, Karnataka. Authors automated test suites, end-to-end integration frameworks, and load testing harnesses. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 4+ years of experience with Javascript, Docker, Qa Automation, Rest Apis, Git, Ci Cd, Python. Preferred / Good to have: . Strong analytical mindset, problem-solving, and communication skills required.",7,347
JOB-1001,Entry Level Quantitative Research Analyst,quant_analyst,Quantitative Research Analyst,Analytics & Finance,Postman,Product Unicorn,Tier-1,"Noida, Uttar Pradesh",Tier-2,0,1,1,"problem_solving,machine_learning,sql,r,python,pandas,numpy,statistics,time_series","matlab,financial_modeling","problem_solving,machine_learning,time_series,sql,r,matlab,financial_modeling,pandas,numpy,statistics,python",14.3,40.6,27.5,"We are hiring a talented Quantitative Research Analyst to join Postman in Noida, Uttar Pradesh. Develops mathematical trading algorithms, risk models, statistical arbitrage strategies, and market backtests. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Problem Solving, Machine Learning, Sql, R, Python, Pandas, Numpy, Statistics, Time Series. Preferred / Good to have: Matlab, Financial Modeling. Strong analytical mindset, problem-solving, and communication skills required.",26,37
JOB-1002,Entry Level Big Data Solutions Architect,big_data_architect,Big Data Solutions Architect,Engineering,Cisco Systems,Enterprise Tech,Tier-1,"Kolkata, West Bengal",Tier-3,0,1,1,"sql,apache_spark,databricks,aws,apache_kafka,system_design,hadoop,python","terraform,kubernetes","sql,terraform,apache_spark,databricks,aws,kubernetes,apache_kafka,system_design,hadoop,python",12.5,32.8,22.6,"We are hiring a talented Big Data Solutions Architect to join Cisco Systems in Kolkata, West Bengal. Architects petabyte-scale distributed data streaming, lakehouse architectures, and real-time event infrastructure. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Sql, Apache Spark, Databricks, Aws, Apache Kafka, System Design, Hadoop, Python. Preferred / Good to have: Terraform, Kubernetes. Strong analytical mindset, problem-solving, and communication skills required.",9,247
JOB-1003,Junior Associate QA Automation & SDET Engineer,sdet_qa_engineer,QA Automation & SDET Engineer,Software Engineering,Deloitte USI,Consulting Tier-1,Tier-2,"Pune, Maharashtra",Tier-1,1,3,1,"javascript,qa_automation,rest_apis,agile_scrum,git,python","sql,linux","sql,javascript,linux,qa_automation,rest_apis,agile_scrum,git,python",6.4,16.4,11.4,"We are hiring a talented QA Automation & SDET Engineer to join Deloitte USI in Pune, Maharashtra. Authors automated test suites, end-to-end integration frameworks, and load testing harnesses. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Javascript, Qa Automation, Rest Apis, Agile Scrum, Git, Python. Preferred / Good to have: Sql, Linux. Strong analytical mindset, problem-solving, and communication skills required.",11,43
JOB-1004,Junior Associate MLOps Engineer,mlops_engineer,MLOps Engineer,Engineering & DevOps,Amazon Development Centre,Tech Giant,Tier-1,"Chennai, Tamil Nadu",Tier-2,1,3,1,"linux,docker,terraform,fastapi,aws,kubernetes,rest_apis,mlops,ci_cd,python",deep_learning,"terraform,linux,docker,fastapi,aws,kubernetes,rest_apis,deep_learning,mlops,ci_cd,python",13.3,32.6,23.0,"We are hiring a talented MLOps Engineer to join Amazon Development Centre in Chennai, Tamil Nadu. Automates machine learning model lifecycles, CI/CD orchestration, registry, and drift monitoring. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Linux, Docker, Terraform, Fastapi, Aws, Kubernetes, Rest Apis, Mlops, Ci Cd, Python. Preferred / Good to have: Deep Learning. Strong analytical mindset, problem-solving, and communication skills required.",24,314
JOB-1005,Junior Frontend Engineer (React / Next.js),frontend_developer,Frontend Engineer (React / Next.js),Software Engineering,EY GDS,Consulting Tier-1,Tier-2,"Chennai, Tamil Nadu",Tier-2,0,1,0,"javascript,docker,angular,rest_apis,data_structures_algorithms,react,git,ci_cd",,"javascript,docker,angular,rest_apis,data_structures_algorithms,react,git,ci_cd",5.3,16.2,10.8,"We are hiring a talented Frontend Engineer (React / Next.js) to join EY GDS in Chennai, Tamil Nadu. Builds performant, accessible web applications, responsive user interfaces, and state-managed frontends. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 0+ years of experience with Javascript, Docker, Angular, Rest Apis, Data Structures Algorithms, React, Git, Ci Cd. Preferred / Good to have: . Strong analytical mindset, problem-solving, and communication skills required.",17,143
JOB-1006,Mid-Level Specialist Site Reliability Engineer (SRE),sre_engineer,Site Reliability Engineer (SRE),Cloud & Infrastructure,Google India,Tech Giant,Tier-1,"Hyderabad, Telangana",Tier-1,3,6,5,"linux,docker,bash,kubernetes,system_design,python,monitoring_observability","postgresql,azure","postgresql,linux,docker,bash,kubernetes,system_design,azure,python,monitoring_observability",21.6,59.3,40.5,"We are hiring a talented Site Reliability Engineer (SRE) to join Google India in Hyderabad, Telangana. Guarantees system uptime, high availability, automated incident recovery, and telemetry monitoring. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 5+ years of experience with Linux, Docker, Bash, Kubernetes, System Design, Python, Monitoring Observability. Preferred / Good to have: Postgresql, Azure. Strong analytical mindset, problem-solving, and communication skills required.",17,326
JOB-1007,Mid-Level Specialist Product & Growth Analyst,product_analyst,Product & Growth Analyst,Analytics,Fractal Analytics,Analytics Consultancy,Tier-2,"Chennai, Tamil Nadu",Tier-2,3,6,3,"product_analytics,sql,excel,tableau,statistics,power_bi,python",looker,"looker,product_analytics,sql,excel,tableau,statistics,power_bi,python",7.5,20.8,14.2,"We are hiring a talented Product & Growth Analyst to join Fractal Analytics in Chennai, Tamil Nadu. Drives product experimentation, user funnel optimization, cohort retention, and A/B test analysis. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 3+ years of experience with Product Analytics, Sql, Excel, Tableau, Statistics, Power Bi, Python. Preferred / Good to have: Looker. Strong analytical mindset, problem-solving, and communication skills required.",3,287
JOB-1008,Mid-Level Specialist Enterprise Solutions Architect,solutions_architect,Enterprise Solutions Architect,Engineering & Strategy,Tiger Analytics,Analytics Consultancy,Tier-2,"Pune, Maharashtra",Tier-1,3,6,4,"communication,docker,leadership,aws,kubernetes,rest_apis,agile_scrum,system_design,azure",problem_solving,"problem_solving,communication,docker,leadership,aws,kubernetes,rest_apis,agile_scrum,system_design,azure",22.1,63.2,42.7,"We are hiring a talented Enterprise Solutions Architect to join Tiger Analytics in Pune, Maharashtra. Designs holistic end-to-end technical system blueprints, tech stacks, and cloud migration strategies for enterprises. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 4+ years of experience with Communication, Docker, Leadership, Aws, Kubernetes, Rest Apis, Agile Scrum, System Design, Azure. Preferred / Good to have: Problem Solving. Strong analytical mindset, problem-solving, and communication skills required.",11,25
JOB-1009,Junior Cybersecurity & Security Operations Engineer,cybersecurity_engineer,Cybersecurity & Security Operations Engineer,Cloud & Infrastructure,Cognizant Digital,IT Services & Enterprise,Tier-2,Remote (India),Remote,0,1,0,"communication,linux,bash,git,penetration_testing,cybersecurity,python",docker,"communication,linux,docker,bash,git,penetration_testing,cybersecurity,python",6.0,15.8,10.9,"We are hiring a talented Cybersecurity & Security Operations Engineer to join Cognizant Digital in Remote (India). Protects digital assets, performs penetration testing, analyzes threat telemetry, and mitigates security vulnerabilities. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 0+ years of experience with Communication, Linux, Bash, Git, Penetration Testing, Cybersecurity, Python. Preferred / Good to have: Docker. Strong analytical mindset, problem-solving, and communication skills required.",5,307
JOB-1010,Mid-Level Specialist Cybersecurity & Security Operations Engineer,cybersecurity_engineer,Cybersecurity & Security Operations Engineer,Cloud & Infrastructure,Qualcomm India,Hardware & AI,Tier-1,"Mumbai, Maharashtra",Tier-1,3,6,6,"problem_solving,communication,linux,siem,bash,aws,git,penetration_testing,cybersecurity,python",ci_cd,"problem_solving,communication,linux,siem,bash,aws,git,penetration_testing,ci_cd,cybersecurity,python",20.5,52.9,36.7,"We are hiring a talented Cybersecurity & Security Operations Engineer to join Qualcomm India in Mumbai, Maharashtra. Protects digital assets, performs penetration testing, analyzes threat telemetry, and mitigates security vulnerabilities. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 6+ years of experience with Problem Solving, Communication, Linux, Siem, Bash, Aws, Git, Penetration Testing, Cybersecurity, Python. Preferred / Good to have: Ci Cd. Strong analytical mindset, problem-solving, and communication skills required.",7,289
JOB-1011,Entry Level Full Stack Developer,full_stack_developer,Full Stack Developer,Software Engineering,Tiger Analytics,Analytics Consultancy,Tier-2,"Noida, Uttar Pradesh",Tier-2,0,1,1,"postgresql,javascript,node_js,docker,rest_apis,react,git,python","mongodb,ci_cd","postgresql,javascript,docker,node_js,rest_apis,mongodb,react,git,ci_cd,python",6.1,18.7,12.4,"We are hiring a talented Full Stack Developer to join Tiger Analytics in Noida, Uttar Pradesh. Builds end-to-end user interfaces, web applications, backend services, and database layers. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 1+ years of experience with Postgresql, Javascript, Node Js, Docker, Rest Apis, React, Git, Python. Preferred / Good to have: Mongodb, Ci Cd. Strong analytical mindset, problem-solving, and communication skills required.",2,99
JOB-1012,Junior Associate Backend Software Engineer,backend_developer,Backend Software Engineer,Software Engineering,Google India,Tech Giant,Tier-1,"Noida, Uttar Pradesh",Tier-2,1,3,2,"postgresql,docker,fastapi,rest_apis,data_structures_algorithms,git,python","linux,aws,django","postgresql,linux,docker,django,fastapi,aws,rest_apis,data_structures_algorithms,git,python",9.4,27.1,18.2,"We are hiring a talented Backend Software Engineer to join Google India in Noida, Uttar Pradesh. Architects resilient server-side applications, database schemas, REST APIs, and microservices. You will work with high-performing cross-functional teams to build scalable solutions. Key Requirements: 2+ years of experience with Postgresql, Docker, Fastapi, Rest Apis, Data Structures Algorithms, Git, Python. Preferred / Good to have: Linux, Aws, Django. Strong analytical mindset, problem-solving, and communication skills required.",17,286
